group,function,value,sample_time_nanos,iteration_count
fib 20,,,1059217.0,40
fib 20,,,2179207.0,80
fib 20,,,2991394.0,120
fib 20,,,3981830.0,160
fib 20,,,4958267.0,200
fib 20,,,6034640.0,240
fib 20,,,6960149.0,280
fib 20,,,8049119.0,320
fib 20,,,8925974.0,360
fib 20,,,9985191.0,400
fib 20,,,10976067.0,440
fib 20,,,12028492.0,480
fib 20,,,12973394.0,520
fib 20,,,13719929.0,560
fib 20,,,14968157.0,600
fib 20,,,15726247.0,640
fib 20,,,16869986.0,680
fib 20,,,17785975.0,720
fib 20,,,20101352.0,760
fib 20,,,19897292.0,800
fib 20,,,20855687.0,840
fib 20,,,21972266.0,880
fib 20,,,23080321.0,920
fib 20,,,24105276.0,960
fib 20,,,25408780.0,1000
fib 20,,,25818799.0,1040
fib 20,,,27146688.0,1080
fib 20,,,28457312.0,1120
fib 20,,,29608961.0,1160
fib 20,,,29964775.0,1200
fib 20,,,31056247.0,1240
fib 20,,,32375362.0,1280
fib 20,,,33131213.0,1320
fib 20,,,33904453.0,1360
fib 20,,,34712395.0,1400
fib 20,,,35725215.0,1440
fib 20,,,36680398.0,1480
fib 20,,,37182227.0,1520
fib 20,,,37033504.0,1560
fib 20,,,37563490.0,1600
fib 20,,,38468244.0,1640
fib 20,,,39458102.0,1680
fib 20,,,42192439.0,1720
fib 20,,,42031521.0,1760
fib 20,,,43257601.0,1800
fib 20,,,43937184.0,1840
fib 20,,,43479677.0,1880
fib 20,,,47755465.0,1920
fib 20,,,49735802.0,1960
fib 20,,,49075886.0,2000
fib 20,,,50904078.0,2040
fib 20,,,52041790.0,2080
fib 20,,,53044156.0,2120
fib 20,,,54417138.0,2160
fib 20,,,55039327.0,2200
fib 20,,,55733453.0,2240
fib 20,,,56287700.0,2280
fib 20,,,58551329.0,2320
fib 20,,,57033569.0,2360
fib 20,,,58137072.0,2400
fib 20,,,58061409.0,2440
fib 20,,,60290736.0,2480
fib 20,,,60903614.0,2520
fib 20,,,61358956.0,2560
fib 20,,,61082446.0,2600
fib 20,,,66894273.0,2640
fib 20,,,66341118.0,2680
fib 20,,,68009771.0,2720
fib 20,,,70316304.0,2760
fib 20,,,70357972.0,2800
fib 20,,,71198380.0,2840
fib 20,,,72372327.0,2880
fib 20,,,73088704.0,2920
fib 20,,,74782767.0,2960
fib 20,,,74964543.0,3000
fib 20,,,76040726.0,3040
fib 20,,,76741176.0,3080
fib 20,,,77484725.0,3120
fib 20,,,77474202.0,3160
fib 20,,,79515011.0,3200
fib 20,,,83629893.0,3240
fib 20,,,81337402.0,3280
fib 20,,,81590292.0,3320
fib 20,,,81617746.0,3360
fib 20,,,81641314.0,3400
fib 20,,,82167974.0,3440
fib 20,,,84630252.0,3480
fib 20,,,86973821.0,3520
fib 20,,,87524102.0,3560
fib 20,,,86855119.0,3600
fib 20,,,87825927.0,3640
fib 20,,,87780623.0,3680
fib 20,,,90570243.0,3720
fib 20,,,93551771.0,3760
fib 20,,,95665813.0,3800
fib 20,,,96196377.0,3840
fib 20,,,95712087.0,3880
fib 20,,,96542210.0,3920
fib 20,,,97944801.0,3960
fib 20,,,100189196.0,4000
